model,confirm,entry,filter,bucket,stop,exit,n,tr_wk,wr,pf,expR,totR,maxDD_R,flag,mirage
fill,conf15,pullback_limit,none,>1.25,open_buffer,prior_close,21,0.039,0.0952,0.0504,-0.9598,-20.155,-20.216,sub_floor,True
fill,conf15,pullback_limit,none,>1.25,open_buffer,half_gap,21,0.039,0.0952,0.2092,-0.7992,-16.784,-18.21,sub_floor,True
fill,conf15,pullback_limit,none,>1.25,open_buffer,1.5R,21,0.039,0.1905,0.2583,-0.706,-14.826,-17.384,sub_floor,True
fill,conf15,pullback_limit,none,>1.25,open_buffer,2R,21,0.039,0.1429,0.2528,-0.7536,-15.826,-19.384,sub_floor,True
fill,conf15,pullback_limit,none,>1.25,atr1.0,prior_close,21,0.039,0.381,0.4762,-0.2112,-4.436,-5.223,sub_floor,False
fill,conf15,pullback_limit,none,>1.25,atr1.0,half_gap,21,0.039,0.4286,0.5499,-0.1814,-3.81,-5.442,sub_floor,False
fill,conf15,pullback_limit,none,>1.25,atr1.0,1.5R,21,0.039,0.381,0.4762,-0.2112,-4.436,-5.223,sub_floor,False
fill,conf15,pullback_limit,none,>1.25,atr1.0,2R,21,0.039,0.381,0.4762,-0.2112,-4.436,-5.223,sub_floor,False
fill,conf15,pullback_limit,none,>1.25,atr1.5,prior_close,21,0.039,0.381,0.4539,-0.154,-3.234,-3.425,sub_floor,False
fill,conf15,pullback_limit,none,>1.25,atr1.5,half_gap,21,0.039,0.4286,0.5242,-0.1341,-2.817,-3.572,sub_floor,False
fill,conf15,pullback_limit,none,>1.25,atr1.5,1.5R,21,0.039,0.381,0.4539,-0.154,-3.234,-3.425,sub_floor,False
fill,conf15,pullback_limit,none,>1.25,atr1.5,2R,21,0.039,0.381,0.4539,-0.154,-3.234,-3.425,sub_floor,False
fill,conf15,pullback_limit,on_range_pctile,0.25-0.75,open_buffer,prior_close,172,0.317,0.3256,0.9231,-0.0614,-10.569,-33.185,dead,False
fill,conf15,pullback_limit,on_range_pctile,0.25-0.75,open_buffer,half_gap,172,0.317,0.4302,0.6999,-0.2027,-34.871,-38.223,dead,True
fill,conf15,pullback_limit,on_range_pctile,0.25-0.75,open_buffer,1.5R,172,0.317,0.4012,0.7198,-0.2012,-34.602,-38.965,dead,True
fill,conf15,pullback_limit,on_range_pctile,0.25-0.75,open_buffer,2R,172,0.317,0.343,0.7742,-0.176,-30.269,-44.247,dead,False
fill,conf15,pullback_limit,on_range_pctile,0.25-0.75,atr1.0,prior_close,172,0.317,0.5174,0.7061,-0.0673,-11.569,-14.455,dead,False
fill,conf15,pullback_limit,on_range_pctile,0.25-0.75,atr1.0,half_gap,172,0.317,0.6453,0.5978,-0.0716,-12.315,-13.302,dead,True
fill,conf15,pullback_limit,on_range_pctile,0.25-0.75,atr1.0,1.5R,172,0.317,0.4651,0.7729,-0.0542,-9.327,-12.017,dead,False
